,Word,Count
0,sweet,3643
1,nose,2884
2,notes,2846
3,oak,2596
4,vanilla,2526
5,little,2376
6,finish,2356
7,whisky,2292
8,sherry,2207
9,fruits,2080
10,long,1946
11,wood,1902
12,fruit,1837
13,honey,1778
14,like,1709
15,old,1693
16,chocolate,1686
17,smoke,1682
18,good,1651
19,taste,1650
20,nan,1646
21,spicy,1595
22,malt,1558
23,fruity,1547
24,light,1538
25,bit,1491
26,slightly,1469
27,caramel,1326
28,spices,1313
29,pepper,1274
30,dark,1248
31,dry,1245
32,water,1223
33,quite,1220
34,sweetness,1215
35,palate,1189
36,nice,1183
37,medium,1161
38,fresh,1157
39,bitter,1118
40,dried,1083
41,time,1030
42,peat,1005
43,orange,985
44,note,938
45,just,937
46,really,908
47,citrus,846
48,apple,834
49,mouth,814
50,soft,813
51,bottle,801
52,great,786
53,creamy,771
54,cask,740
55,bourbon,727
56,cinnamon,723
57,hint,712
58,red,709
59,alcohol,707
60,apples,704
61,leather,691
62,year,690
63,pleasant,682
64,lemon,679
65,complex,667
66,dram,644
67,spice,644
68,raisins,643
69,oily,628
70,ginger,625
71,lot,619
72,aromas,619
73,short,616
74,strong,611
75,better,610
76,price,594
77,green,577
78,tobacco,574
79,floral,567
80,hints,566
81,years,564
82,white,537
83,sour,531
84,touch,531
85,aroma,527
86,toffee,524
87,balanced,521
88,sugar,519
89,bitterness,513
90,points,503
91,wine,493
92,glass,483
93,coffee,482
94,comes,481
95,casks,468
96,smoky,466
97,black,463
98,intense,461
99,ripe,460
100,woody,458
101,oranges,450
102,end,436
103,young,435
104,malty,428
105,rich,424
106,pear,420
107,herbs,420
108,does,412
109,new,411
110,lots,410
111,subtle,410
112,mild,404
113,fine,404
114,slight,403
115,salt,398
116,nuts,396
117,distillery,396
118,way,395
119,mint,392
120,peppery,389
121,banana,389
122,think,385
123,milk,381
124,salty,381
125,smell,378
126,flavors,377
127,best,377
128,overall,376
129,barrel,374
130,tasting,370
131,warm,368
132,tea,367
133,12,360
134,background,359
135,single,358
136,karuizawa,358
137,pretty,356
138,cream,355
139,tongue,354
140,delicate,347
141,length,347
142,herbal,346
143,different,343
144,beautiful,342
145,profile,340
146,nutmeg,337
147,interesting,334
148,peel,334
149,berries,333
150,tart,332
151,maybe,331
152,pineapple,330
153,apricot,328
154,tropical,327
155,nutty,320
156,com,320
157,bad,319
158,barley,318
159,character,317
160,peach,315
161,mouthfeel,315
162,drink,314
163,balance,312
164,age,304
165,cocoa,304
166,body,303
167,plum,297
168,jam,294
169,liquorice,294
170,easy,292
171,40,291
172,abv,288
173,plums,286
174,10,286
175,flavours,283
176,tasty,278
177,port,278
178,come,277
179,tasted,275
180,high,272
181,start,271
