,Whisky,Review
0,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"Very clear, tasty, smooth, rounded base release. It would be 43-46%, there would be a bomb.Pears, pies, honey pastries, peach jam, candies, piece of wood, crumbly cookies.Slightly expressed, slightly sweet with a slight acidity. A piece of wood, peaches, a basket of fresh fruit.Long, quite comprehensive for this age and price. Wood, hay, gingerbread cookie."
1,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"Here we have another workhorse of the blend industry, since most of Aberfeldy's production ends up as key component of Dewar's. The nose of this 12-year-old Highlander is unimposing, grainy and slightly acidic with apple cider, heather honey and hints of vinegar. On the palate, it arrives silky, light and malty sweet before turning aromatic and indistinctly sour in the development. A surprisingly milky aftertaste with almonds, muesli and a touch of oak rounds off the experience. It's probably not a very memorable Single Malt, but nice enough to give it a try.RATING: 3.0/5.0 stars ≙ 80 pts → AVERAGE"
2,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"Light nose: honey, sultanas, citrus and general sweetness.Taste is pretty much similar, but mainly very light.Body and development are virtually non existing. It's all very light and simple.Finish is very short with a little honey.Not a real bad whisky; there are no clear off-notes, but there's no character either. It's just a very dull and boring dram. Even for the price of 30 euro's there are way better options to consider."
3,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"Delicate, soft, quite sweet and fruity w/ notes of peach jam, sherry and orange zest.RATING: 83pts – |83 – 86 (B) → Good| — Not a “must”, but a nice-to-have."
4,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"A much overlooked whisky.Aberfeldy doesn't do a lot in terms of being unique. Refreshingly enough, the brand seems to acknowledge this. It's a highlands 12 year old whisky. It isn't terribly overprized and it's good. The nose is rather bland at first, but given time, develops a rather pleasant, albeit faint, maltish quality.Tastewise, this dram delivers quite well. Malt, honey, chocolate, a little spiciness on the back of the tongue. Aftertaste is just nice and rather warming, with nuts, milk chocolate, vanilla and honey. As stated below, not very memorable, but still a great mid-week dram, a good addition to any whisky cabinet and above all else a great introduction. This is the first dram I pick to give friends to enthuse them into exploring beyond their terrible ""i love whisky, I drink Jack Daniels all the time"" mindset."
5,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"Classic introductory dram, and no showpiece. Can you drink, you should perhaps better leave.Grain skimmer, honey and some citrus fruit on first nosing. Life only brings a few yellow fruits (apples and grapes) to the fore, otherwise no change. On the contrary, over time, the nose flattens out. For 40% of the alcohol is very noticeable. Warmed, the flavors are a touch of medical disinfectant in the way, even light smoke seems to be noticeable. Acetone notes in the empty glass.Integrated alcohol is something else, luck has only 40%. Very sweet honey and a bit too much oak, as well as clear alcoholic sharpness. Diluted he does not work, the mouthfeel is amazingly good, quite thick.Honey and bitter oak, rather short. What remains the longest are the anesthetized mucous membranes."
6,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,
7,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"good standard, survives very well in the bottle for a long time. Good for introducing others to single malt."
8,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,20 20 20 20
9,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,"A good drink, especially in combination with its low cost.Sweet notes of dried grapes, dates and prunes, marshmallows.The taste is sweet, consisting of dry dark berries with a hint of oak.Medium duration, sweet."
10,Aberfeldy 18-year-old,"As for me, it is one of the top fruit single malts. Lots of fruits, no bitterness and a lot of dark chocolate, makes it a real ""TOP"" The longer it stays and breathes in the glass, the more perfect and noble the whisky becomes. Great item ... I save it to my ""shopping"" notebook under the name .... ""must be purchased""delicate, very pleasant, fruity, blackberry, vanilla, toffee, raisins, marzipansmooth, sweet, wine, vanilla ice cream, fudge, raspberries, strawberrieslong, pleasant, sweet, nutty, eventually turning into dark chocolate with a strawberry flavor"
11,Aberfeldy 18-year-old,surprisingly interesting.thanks to the blindsample I gave this one a chance. I would have never bought the whisky or a sample otherwise.unfortunately 43 % ABV
12,Aberfeldy 18-year-old,
13,Aberfeldy 18-year-old,
14,Aberfeldy 18-year-old,
15,Aberfeldy 21-year-old  Limited Release,"The smoke surprises me a little. I would not have thought. The nose is complex and very beautiful. Perhaps one or two percent of alcohol would have done well in the mouth. Still, he's good.The first Aberfeldy and the 21 year old. I'm curious. The color in the snifter is a dark straw gold. Slowly thick legs form from the oily rim on the glass, which leisurely steer downwards. OK. Interesting. Perfumed soap that smells of flower meadows. I don't have any classic Sherry notes at first. The alcohol is not at all in the foreground, you can stick your nose deep into the glass and nothing burns in it. The first fruits come after the flower meadow. Red ripe apples are in the foreground, behind it is a sweetness. Now the flower meadow is moving towards the heath association, similar to what I had in my nose with the HP 12 and also a little with the Glen Garioch 12y. After the first sip, I think I have a very, very light smoke note in the nose. The orange notes appear more behind it, this could be the sherry barrel influence.Nice first oily mouthfeel. A sweetness at the beginning, the heather swings with your nose. Then comes a peppery spiciness that ends in oak. In the front of the teeth, the mouth becomes a little drier. The next sip I have the smoke here too, a balanced mouthfeel between sweetness and spiciness.The oak that I had in my mouth at the end also moves down the palate. At the very end, I feel like I notice a little smoke. Can this be? Now the second time, a delicate dark chocolate is added that lasts a little longer."
16,Aberfeldy 21-year-old  Limited Release,"Quite watery but fruity, sweet, very mild w/ notes of peach jam and olive oil along with ginger and grapefruit fresh.RATING: 83pts – |83 – 86 (B) → Good| — Not a “must”, but a nice-to-have."
17,Aberfeldy 21-year-old  Limited Release,"Orange BlossomsThe older version of the Aberfeldy 21 Year Old was matured exclusively on bourbon casks, but this more recent release – from 2014 – has some sherry matured whisky in the mix. The nose is rather closed. A get loads of barley and dark honey, but not much else. It takes a while before it shows its true colors. Hint of chewing tobacco, candied orange peel and some floral elements. Orange blossoms. There is a lovely dusty side to it though, as if I am in the attic.Unfortunately the arrival is pretty weak. The fruitiness now translates mostly into blood oranges, grapefruit and sultanas. A touch of woodspice with cinnamon and nutmeg in the lead, followed by some ginger and liquorice. Hint of chocolate and apricot marmalade. The finish is disappointingly short. It starts fairly sweet and pleasant, but quickly turns somewhat bitter.I believe this malt would fare much better at 43 or even 46% ABV. At the current strength it is all pleasant and well, but rather thin."
18,Aberfeldy 21-year-old  Limited Release,"Tasted together with the 12yo. Also a nice summer dram. Good to show in a Einsteigertasting with the 12er the influence of storage time. But this does not kick me unfortunately.The 21 year old smells like a logical continuation of my little brother. The honey is darker and goes towards orange blossom honey. The fruits are darker and the peach is joined by a few raisins. The flower meadow is now in full bloom and the smell heavier.Here, too, the (almost) decade helps more in the barrel. What has unfortunately remained is the wateriness. The mouth continues the impressions from the nose, no surprising new flavors. Only here comes a spiciness that I ascribe to the influence of the barrel. 3% more would certainly do him good.a bit longer than the twelve-year-old but still short. Malty and minimal astringent oak spicy."
19,Aberfeldy 21-year-old  Limited Release,"Pleasantly round and sweet, the alcohol is barely noticeable. Grass and floral notes. Vanilla and sweet and sour fruits.Creamy, tasty, mild, caramel and vanilla. The floral notes are repeated.Relatively short and almost liqueur-like. The sweetness remains around mouth for a whole time."
20,Aberfeldy 21-year-old  Limited Release,
21,Aberfeldy 21-year-old  Limited Release,"Seldom have the 40% destroyed a whisky so much for me, there would definitely have been a lot to gain with a few percent more. So then unfortunately any average, well drinkable, but it doesn't have to be.Lots of yellow fruit, quite sour, dried grass, some honey, overripe mango, some oak in the background joins in, rather light and creamy from the overall profile, pleasant and unspectacular, the first sip strengthens the aromas in the nose a little, which is what I find I add a little lovage, spicethe first impression is thin and rather watery, slightly sweet, here too yellow fruit paired with spicy and dry oak, mango, acid tingles in the mouth, sweetness lingers on the palate, really rarely experienced such a thin whisky, it really suffers from the 40 %, which means that the individual, very pleasant aromas are unfortunately not properly staged.Creamy, almost waxy, it becomes tart, a slight hint of grapefruit, the mouth is coated for quite a long time, although the aromas themselves don't last too long"
22,Aberfeldy 21-year-old  Limited Release,
