,Whisky,Distillery,CountryOrRegion,Age,Rating
0,Aberfeldy 12-year-old  Limited Bottling Batch No.: 2905,Aberfeldy,Scotland Highlands,12,78.9
1,Aberfeldy 18-year-old,Aberfeldy,Scotland Highlands,18,85.24
2,Aberfeldy 21-year-old  Limited Release,Aberfeldy,Scotland Highlands,21,84.84
3,Aberlour 12-year-old  Double Cask Matured,Aberlour,Scotland Speyside,12,80.45
4,Aberlour 12-year-old  Double Cask Matured,Aberlour,Scotland Speyside,12,80.36
5,Aberlour 14-year-old  Double Cask Matured,Aberlour,Scotland Speyside,14,84.35
6,Aberlour 16-year-old  Double Cask Matured,Aberlour,Scotland Speyside,16,84.33
7,Aberlour 16-year-old  Double Cask Matured,Aberlour,Scotland Speyside,16,82.91
8,Aberlour 16-year-old  Double Cask Matured,Aberlour,Scotland Speyside,16,82
9,Aberlour 18-year-old,Aberlour,Scotland Speyside,18,85.27
10,Aberlour Triple Cask,Aberlour,Scotland Speyside,NAS,80.75
11,Allt-a-Bhainne Single Malt Scotch Whisky,Allt-a-Bhainne,Scotland Speyside,NAS,78.48
12,Amrut Cask Strength,Amrut,India,NAS,89
13,Amrut Indian Single Malt Whisky,Amrut,India,NAS,80
14,Amrut Peated  Indian Single Malt Whisky,Amrut,India,NAS,83.25
15,Amrut Peated Indian Whisky  Cask Strength,Amrut,India,NAS,88
16,Amrut Raj Igala,Amrut,India,NAS,82
17,Ardbeg An Oa,Ardbeg,Scotland Islay,NAS,84.32
18,Ardbeg Corryvreckan,Ardbeg,Scotland Islay,NAS,88.29
19,Ardbeg Ten,Ardbeg,Scotland Islay,10,86.01
20,Ardbeg Uigeadail,Ardbeg,Scotland Islay,NAS,88.74
21,Ardbeg Wee Beastie,Ardbeg,Scotland Islay,5,84.11
22,Ardmore 12-year-old  Port Wood Finish,Ardmore,Scotland Highlands,12,84.56
23,Ardmore 1996,Ardmore,Scotland Highlands,20,86.82
24,Ardmore Legacy  Lightly Peated,Ardmore,Scotland Highlands,NAS,77.25
